glucose_uptake,oxygen_uptake,ammonia_uptake,phosphate_uptake,EX_nh4_e_flux,EX_pi_e_flux,Biomass_Ecoli_core_flux
8.75,14.98,3.04,3.36,-3.04,-2.0509184272300582,0.557511737089202
1.84,22.87,2.15,1.98,-0.6867102362786156,-0.4632850913655612,0.12593717654757472
5.24,1.27,0.91,3.72,-0.6128621294444656,-0.41346389297006714,0.11239402315222768
0.92,15.12,1.3,2.01,-0.2232883510656387,-0.15064019532444836,0.04094930147183793
2.96,8.96,3.62,1.56,-1.2465193087968875,-0.8409570461544766,0.22860169248769222
5.71,11.95,3.35,4.69,-2.458489083232288,-1.6586054486661044,0.450867276120945
7.35,5.45,0.25,1.39,-0.25,-0.1686610548708993,0.045848004694838164
5.99,1.38,2.53,3.02,-0.7590189516426021,-0.5120677482041646,0.13919801783351718
3.41,19.3,0.62,0.47,-0.62,-0.4182794160798251,0.11370305164319315
7.31,12.44,3.47,2.23,-2.920368488414978,-1.9702097194711312,0.5355722726700005
2.54,20.5,4.02,3.5,-1.0365909066025338,-0.6993300631086292,0.19010249901014806
2.79,14.8,1.87,0.55,-1.3891348846059552,-0.55,0.14950933753771947
9.18,3.51,4.76,2.29,-1.7069244575929254,-1.151566718410171,0.31303632218180133
1.93,13.59,4.38,3.69,-0.7316948938916924,-0.4936337305896638,0.1341870037213342
8.08,16.5,3.49,4.26,-3.49,-2.35450832599768,0.6400381455399065
2.57,12.29,1.18,4.94,-1.0515857924735608,-0.709446276183333,0.19285244140140131
9.45,1.08,3.56,4.63,-1.2747955060112417,-0.860033419154063,0.23378732137823516
1.89,14.24,4.59,0.27,-0.4002109440835087,-0.27,0.07339549297306132
7.0,7.5,4.63,4.86,-2.0738037565578886,-1.3990797167050735,0.3803190574673347
9.45,11.91,4.32,4.24,-3.2893799829880055,-2.21916119120782,0.6032460356125305
3.26,20.74,0.28,3.02,-0.28,-0.18890038145537272,0.05134976525821601
2.38,3.1,0.48,3.51,-0.4754804967328686,-0.3207801685980078,0.08719932818604548
3.46,18.15,0.42,1.64,-0.42,-0.28335057218311127,0.07702464788732406
5.44,19.79,1.66,3.17,-1.66,-1.1199094043427291,0.30443075117370894
8.87,15.43,1.24,0.22,-1.24,-0.22,0.0598037350150854
8.71,0.63,4.39,2.69,-1.063562660706285,-0.7175264011040511,0.19504890344525477
9.4,19.99,4.99,1.82,-2.697718215674042,-1.82,0.49473998967026905
7.7,10.11,2.45,3.17,-2.45,-1.6528783377347378,0.44931044600938924
8.75,24.6,3.86,2.15,-3.7097422700652247,-2.15,0.5844455921928924
4.27,18.47,1.27,0.64,-0.9486481637535356,-0.64,0.173974501862081
3.61,7.25,1.55,1.24,-1.3444710056913791,-0.9070395922529539,0.24656525192403536
3.9,17.02,1.17,4.75,-1.17,-0.7893337367957813,0.2145686619718311
7.88,2.33,2.15,4.41,-1.2593946838374661,-0.8496433434992884,0.23096293350892502
9.45,11.74,3.11,0.92,-1.363681735395652,-0.92,0.2500883464267255
9.91,5.87,4.72,3.28,-2.2914007579327893,-1.5458802758596326,0.42022461082981044
6.12,12.87,1.23,0.96,-1.23,-0.8298123899647722,0.2255721830985913
2.28,4.74,3.92,1.82,-0.697339156153573,-0.4704558307185556,0.1278864356208868
0.67,24.23,4.43,4.65,-0.09658452020802867,-0.06516018824993544,0.0177128301437847
9.95,4.43,2.04,3.82,-2.0153938664263915,-1.3596738219671998,0.3696071497994404
6.99,3.93,4.1,1.2,-1.4256329702425827,-0.9617950424793438,0.26144970845117793
2.32,13.47,3.01,2.94,-0.9266284102150185,-0.6251445005608206,0.1699362548076251
1.01,21.95,1.4,0.73,-0.26890173017437724,-0.18141299787126958,0.04931443114993715
8.9,23.9,4.32,4.07,-4.215506711259867,-2.8439672349456604,0.7730902859558152
6.59,13.82,0.53,2.1,-0.53,-0.3575614363262772,0.09719776995305172
3.79,6.57,3.64,2.53,-1.3044164231281128,-0.8800169996628149,0.2392195611663939
0.9,5.58,3.45,0.47,-0.21315204459702883,-0.14380179475848942,0.03909038376559363
8.53,12.43,2.45,3.0,-2.45,-1.6528783377347427,0.44931044600939035
8.26,8.76,3.42,2.87,-2.52034196218528,-1.7003341359101647,0.46221060045944856
2.74,21.98,4.01,3.33,-1.1365568124093697,-0.7667714836066517,0.20843544828516913
8.52,21.7,3.57,4.2,-3.57,-2.408479863556356,0.6547095070422535
7.0,17.04,3.13,3.79,-3.13,-2.111636406983576,0.5740170187793429
1.67,22.03,4.37,0.24,-0.3557430614075607,-0.24,0.06524043819827625
8.28,3.31,1.74,3.74,-1.5181888917378894,-1.0242373598951418,0.2784237257441845
1.69,20.47,4.18,2.59,-0.6117358069234881,-0.41270402599204475,0.11218746459130913
6.35,6.57,3.21,2.75,-1.793831389537545,-1.2101979776796898,0.3289743598770438
7.82,2.76,3.83,2.75,-1.333831991010692,-0.8998620424976357,0.24461414154392103
9.63,8.61,3.2,4.67,-2.736523156973142,-1.8461795293348666,0.501856506193725
1.11,23.44,3.47,0.43,-0.31958326251742053,-0.21560500070107985,0.0586090196811585
3.08,17.73,0.43,2.95,-0.43,-0.29009701437793844,0.07885856807511729
3.52,15.56,0.32,4.37,-0.32,-0.21588615023474053,0.05868544600938969
9.74,24.23,3.77,0.74,-3.77,-0.74,0.20115801777801973
7.61,0.71,0.21,1.69,-0.21,-0.14167528609154748,0.03851232394366145
4.94,19.28,3.45,2.28,-2.2361817762845475,-1.5086271090848715,0.4100978903103998
2.81,24.93,2.19,2.31,-1.1715448794417624,-0.7903759807809586,0.21485198053142654
1.72,19.89,3.5,1.18,-0.6267306927945145,-0.4228202390667576,0.11493740698256213
0.92,17.04,3.31,1.44,-0.2232883510656383,-0.1506401953244573,0.04094930147183802
9.51,3.86,2.22,4.72,-1.8304330118884584,-1.2348910506224289,0.3356868052905772
4.26,16.0,2.05,1.44,-1.8962976965413054,-1.2793262793915927,0.34776586277532745
9.84,10.29,4.48,1.23,-4.48,-1.23,0.334357245766184
2.21,0.88,3.29,1.91,-0.03306647113780243,-0.022308103611831442,0.00606412689587046
8.66,11.88,4.84,1.01,-1.4970853834234792,-1.01,0.27455351075107826
8.7,19.44,3.88,4.24,-3.88,-2.6176195715962494,0.7115610328638498
7.63,15.69,0.74,0.26,-0.74,-0.26,0.07067714138146554
9.22,15.45,4.0,2.46,-3.646366379427527,-2.46,0.6687144915323371
1.26,3.22,3.46,2.21,-0.25173192513720916,-0.1698294881532892,0.04616562594212317
2.09,12.34,0.41,2.95,-0.41,-0.2766041299882559,0.07519072769953103
2.76,19.96,1.62,2.33,-1.1465534029900528,-0.7735156256564587,0.21026874321267114
6.04,7.36,3.51,4.31,-1.878886285847523,-1.267579771813956,0.3445727490183986
7.82,1.09,2.45,0.61,-0.9041802810775388,-0.61,0.1658194470872834
2.5,24.67,0.8,2.54,-0.8,-0.5397153755868599,0.14671361502347444
6.22,17.59,2.84,0.15,-2.84,-0.15,0.04077527387392275
3.33,12.99,0.53,1.82,-0.53,-0.3575614363262891,0.09719776995305168
5.72,17.27,4.02,1.08,-1.6008437763340257,-1.08,0.2935819718922436
1.76,2.7,3.22,3.56,-0.29473884207416295,-0.198843856062622,0.05405275126066672
7.12,21.79,3.6,4.03,-3.3258101495790404,-2.243738592513335,0.6099270374081283
3.46,20.39,0.49,4.48,-0.49,-0.3305756675469687,0.08986208920187828
5.52,20.45,2.32,3.25,-2.32,-1.5651745892018836,0.42546948356807524
5.31,18.32,0.5,0.4,-0.5,-0.3373221097417888,0.09169600938967147
2.55,4.07,4.37,1.17,-0.6774858754690685,-0.4570619296669785,0.1242455023967629
9.76,8.49,0.99,3.97,-0.99,-0.6678977772887525,0.1815580985915494
6.62,12.51,2.82,3.62,-2.7563950410465963,-1.8595859810552688,0.5055008511309046
2.36,24.91,4.88,3.29,-0.9466215913763841,-0.6386327846604019,0.17360284466262904
2.08,17.04,0.45,0.25,-0.45,-0.25,0.06795878978986537
2.65,11.62,4.35,3.66,-1.0915721547962964,-0.7364228443825417,0.2001856211114092
7.45,10.69,1.8,1.92,-1.8,-1.2143595950704538,0.3301056338028167
9.88,1.1,4.35,2.94,-1.3501387439005654,-0.9108632990733296,0.24760466987613075
4.44,18.16,2.48,4.38,-1.98626701176745,-1.3400235578398303,0.36426551712284305
9.02,10.6,1.46,3.0,-1.46,-0.9849805604459788,0.26775234741784015
9.13,5.35,3.15,3.19,-2.0597844715154934,-1.389621687089953,0.37774803248156796
7.36,3.38,3.61,4.55,-1.3791285268159033,-0.9304210885412156,0.25292116468894943
1.88,6.01,4.86,0.99,-0.7067034174399811,-0.47677337546515974,0.129603766402579
8.56,12.36,1.31,4.37,-1.31,-0.8837839275234771,0.2402435446009393
4.51,12.92,1.86,3.01,-1.86,-1.254838248239443,0.3411091549295774
1.72,9.84,4.85,1.36,-0.6267306927945151,-0.4228202390667527,0.11493740698256223
6.6,8.2,3.89,0.74,-1.096874439339981,-0.74,0.20115801777801887
9.7,11.4,1.26,0.46,-0.6818408676978513,-0.46,0.12504417321336772
